wavelength,global_irradiance,direct_irradiance
798.0,1.1121000000000000000000000,1.0245000000000000000000000
799.0,1.0905000000000000000000000,1.0048000000000000000000000
800.0,1.0725000000000000000000000,0.9885900000000000000000000
801.0,1.0843000000000000000000000,0.9997800000000000000000000
802.0,1.0856000000000000000000000,1.0011000000000000000000000
803.0,1.0657000000000000000000000,0.9828800000000000000000000
804.0,1.0782000000000000000000000,0.9945200000000000000000000
805.0,1.0545000000000000000000000,0.9727000000000000000000000
806.0,1.0974000000000000000000000,1.0122000000000000000000000
807.0,1.0859000000000000000000000,1.0018000000000000000000000
808.0,1.0821000000000000000000000,0.9984400000000000000000000
809.0,1.0548000000000000000000000,0.9735300000000000000000000
810.0,1.0559000000000000000000000,0.9748800000000000000000000
811.0,1.0533000000000000000000000,0.9727300000000000000000000
812.0,1.0268000000000000000000000,0.9488200000000000000000000
813.0,1.0086000000000000000000000,0.9323600000000000000000000
814.0,0.9035600000000000000000000,0.8368100000000000000000000
815.0,0.8952300000000000000000000,0.8292700000000000000000000
816.0,0.8321600000000000000000000,0.7717100000000000000000000
817.0,0.8518300000000000000000000,0.7898400000000000000000000
818.0,0.8225900000000000000000000,0.7629900000000000000000000
819.0,0.9051900000000000000000000,0.8384400000000000000000000
820.0,0.8618800000000000000000000,0.7989900000000000000000000
821.0,0.9976400000000000000000000,0.9229200000000000000000000
822.0,0.9515700000000000000000000,0.8808100000000000000000000
823.0,0.6727100000000000000000000,0.6257600000000000000000000
824.0,0.9350600000000000000000000,0.8661900000000000000000000
825.0,0.9693500000000000000000000,0.8975200000000000000000000
826.0,0.9338100000000000000000000,0.8653000000000000000000000
827.0,0.9846500000000000000000000,0.9117800000000000000000000
828.0,0.8497900000000000000000000,0.7887000000000000000000000
829.0,0.9293000000000000000000000,0.8613500000000000000000000
830.0,0.9160100000000000000000000,0.8493000000000000000000000
831.0,0.9239200000000000000000000,0.8566600000000000000000000
832.0,0.8942600000000000000000000,0.8296100000000000000000000
833.0,0.9565000000000000000000000,0.8862200000000000000000000
834.0,0.9341200000000000000000000,0.8660800000000000000000000
835.0,1.0032000000000000000000000,0.9291700000000000000000000
836.0,0.9723400000000000000000000,0.9013500000000000000000000
837.0,1.0092000000000000000000000,0.9349300000000000000000000
838.0,0.9990100000000000000000000,0.9258500000000000000000000
839.0,1.0013000000000000000000000,0.9278300000000000000000000
840.0,1.0157000000000000000000000,0.9412400000000000000000000
841.0,1.0101000000000000000000000,0.9362600000000000000000000
842.0,0.9970300000000000000000000,0.9241100000000000000000000
843.0,1.0053000000000000000000000,0.9317100000000000000000000
844.0,0.9863100000000000000000000,0.9143400000000000000000000
845.0,1.0165000000000000000000000,0.9422600000000000000000000
846.0,1.0187000000000000000000000,0.9444700000000000000000000
847.0,0.9917000000000000000000000,0.9194700000000000000000000
848.0,0.9921700000000000000000000,0.9201000000000000000000000
849.0,0.9859600000000000000000000,0.9144700000000000000000000
850.0,0.8937200000000000000000000,0.8290000000000000000000000
851.0,0.9749300000000000000000000,0.9045400000000000000000000
852.0,0.9692700000000000000000000,0.8994200000000000000000000
853.0,0.9648600000000000000000000,0.8954000000000000000000000
854.0,0.8511200000000000000000000,0.7900000000000000000000000
855.0,0.9130000000000000000000000,0.8474600000000000000000000
856.0,0.9731700000000000000000000,0.9034300000000000000000000
857.0,0.9916600000000000000000000,0.9205900000000000000000000
858.0,0.9919600000000000000000000,0.9209400000000000000000000
859.0,0.9917100000000000000000000,0.9208100000000000000000000
860.0,0.9881600000000000000000000,0.9176400000000000000000000
861.0,0.9867900000000000000000000,0.9164800000000000000000000
862.0,0.9944900000000000000000000,0.9236700000000000000000000
863.0,1.0005000000000000000000000,0.9293400000000000000000000
864.0,0.9791600000000000000000000,0.9095600000000000000000000
865.0,0.9632400000000000000000000,0.8948700000000000000000000
866.0,0.8490000000000000000000000,0.7888200000000000000000000
867.0,0.9154600000000000000000000,0.8506600000000000000000000
868.0,0.9592000000000000000000000,0.8914000000000000000000000
869.0,0.9495600000000000000000000,0.8825200000000000000000000
870.0,0.9675500000000000000000000,0.8993300000000000000000000
871.0,0.9538700000000000000000000,0.8867100000000000000000000
872.0,0.9668600000000000000000000,0.8988700000000000000000000
873.0,0.9572100000000000000000000,0.8899900000000000000000000
874.0,0.9404200000000000000000000,0.8745100000000000000000000
875.0,0.9268700000000000000000000,0.8620400000000000000000000
876.0,0.9527700000000000000000000,0.8862500000000000000000000
877.0,0.9561500000000000000000000,0.8894800000000000000000000
878.0,0.9523700000000000000000000,0.8860700000000000000000000
879.0,0.9365600000000000000000000,0.8714400000000000000000000
880.0,0.9395700000000000000000000,0.8743400000000000000000000
881.0,0.9086100000000000000000000,0.8456300000000000000000000
882.0,0.9324500000000000000000000,0.8678700000000000000000000
883.0,0.9292700000000000000000000,0.8649400000000000000000000
884.0,0.9330500000000000000000000,0.8685900000000000000000000
885.0,0.9442300000000000000000000,0.8791300000000000000000000
886.0,0.9075200000000000000000000,0.8451500000000000000000000
